"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 11:59:51 WAT 2023","Fri Aug 11 11:59:51 WAT 2023","287","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Fri Aug 11 12:00:25 WAT 2023","Fri Aug 11 12:00:26 WAT 2023","276","Account","Senders","","","","Create a new sender",""
"passed","Fri Aug 11 11:59:40 WAT 2023","Fri Aug 11 11:59:40 WAT 2023","303","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Fri Aug 11 12:00:17 WAT 2023","Fri Aug 11 12:00:17 WAT 2023","226","Account","Webhooks","","","","Delete a webhook",""
"passed","Fri Aug 11 12:00:15 WAT 2023","Fri Aug 11 12:00:15 WAT 2023","323","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Fri Aug 11 12:00:08 WAT 2023","Fri Aug 11 12:00:09 WAT 2023","291","Transactional","Templates","","","","Returns the template information",""
"passed","Fri Aug 11 11:59:55 WAT 2023","Fri Aug 11 11:59:55 WAT 2023","254","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Fri Aug 11 12:00:09 WAT 2023","Fri Aug 11 12:00:09 WAT 2023","272","Transactional","Templates","","","","Update an email template",""
"passed","Fri Aug 11 12:00:17 WAT 2023","Fri Aug 11 12:00:17 WAT 2023","241","Account","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Fri Aug 11 11:59:52 WAT 2023","Fri Aug 11 11:59:52 WAT 2023","321","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Fri Aug 11 11:59:43 WAT 2023","Fri Aug 11 11:59:43 WAT 2023","297","Sales CRM","Tasks","","","","Delete a task",""
"passed","Fri Aug 11 11:59:43 WAT 2023","Fri Aug 11 11:59:43 WAT 2023","315","Sales CRM","Tasks","","","","Update a task",""
"passed","Fri Aug 11 12:00:04 WAT 2023","Fri Aug 11 12:00:04 WAT 2023","283","Contact management","Lists","","","","Get a list's details",""
"failed","Fri Aug 11 12:00:07 WAT 2023","Fri Aug 11 12:00:07 WAT 2023","394","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Fri Aug 11 12:00:09 WAT 2023","Fri Aug 11 12:00:10 WAT 2023","306","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"passed","Fri Aug 11 11:59:47 WAT 2023","Fri Aug 11 11:59:48 WAT 2023","246","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Fri Aug 11 11:59:57 WAT 2023","Fri Aug 11 11:59:57 WAT 2023","282","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Fri Aug 11 11:59:46 WAT 2023","Fri Aug 11 11:59:47 WAT 2023","274","Sales CRM","Files","","","","Get file details",""
"passed","Fri Aug 11 11:59:48 WAT 2023","Fri Aug 11 11:59:48 WAT 2023","288","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
